Rank,Team,Won,Lost,Tied,PF,PA,Rating
475,NORTHWESTERN ST.,0,10,0,117,448,92.625
476,GETTYSBURG,2,7,0,238,347,92.597
477,DENISON,5,4,0,284,196,92.538
478,SHORTER,3,5,0,199,227,92.512
479,UMASS DARTMOUTH,9,0,0,495,112,92.495
480,PACIFIC LUTHERAN,6,3,0,245,180,92.395
481,TUSCULUM,1,8,0,168,353,92.393
482,FDU-FLORHAM,6,3,0,276,192,92.356
483,WESTERN NEW ENG.,5,4,0,290,240,92.174
484,ALBION,6,3,0,302,252,92.161
485,DICKINSON ST.,0,1,0,20,22,92.086
486,LAKE FOREST,9,0,0,392,135,92.086
487,EASTERN ORE.,0,1,0,19,31,92.055
488,THIEL,2,7,0,84,360,92.032
489,WILLIAM JEWELL,4,6,0,240,268,92.009
490,MISSISSIPPI VAL.,0,10,0,142,413,91.951
491,ROOSEVELT,1,8,0,123,248,91.772
492,ILL. WESLEYAN,5,4,0,276,209,91.669
493,CARROLL (WI),4,5,0,219,231,91.583
494,ROCHESTER (NY),6,3,0,195,148,91.549
495,SHIPPENSBURG,2,8,0,112,313,91.461
496,SAVANNAH ST.,5,5,0,207,253,91.358
497,PACE,2,7,0,152,271,91.350
498,ANDERSON (SC),3,7,0,228,287,91.250
499,CHOWAN,3,6,0,123,270,91.221
500,VALLEY CITY ST.,1,1,0,31,52,91.208
501,MT. ST. JOSEPH,7,2,0,371,249,91.172
502,LEBANON VALLEY,4,5,0,206,201,91.135
503,BENEDICT,4,6,0,231,273,91.041
504,LAKE ERIE,2,8,0,175,436,90.855
505,CLAREMONT-M-S,7,2,0,237,142,90.824
506,UNION (NY),3,6,0,168,211,90.801
507,MARY,2,8,0,139,312,90.787
508,STEVENSON,5,4,0,225,193,90.727
509,NORTHEASTERN ST.,2,8,0,279,358,90.551
510,STETSON,2,7,0,213,318,90.436
511,FERRUM,4,5,0,173,284,90.431
512,LYCOMING,4,5,0,259,253,90.407
513,WITTENBERG,4,4,0,229,171,90.222
514,LANE,4,6,0,255,332,90.158
515,HANOVER,5,3,0,285,179,90.147
516,GUSTAVUS ADOLPHUS,5,4,0,191,208,90.144
517,CATHOLIC,4,5,0,183,257,90.137
518,WIDENER,5,4,0,176,175,90.087
519,SOUTHWESTERN (TX),4,5,0,227,239,90.083
520,REINHARDT,0,1,0,7,50,90.001
521,MONMOUTH (IL),7,2,0,380,175,89.996
522,IND. WESLEYAN,0,1,0,17,20,89.929
523,PACIFIC (OR),4,5,0,303,317,89.839
524,KY. WESLEYAN,2,8,0,158,368,89.835
525,KENTUCKY ST.,4,6,0,181,353,89.818
526,CHADRON ST.,3,7,0,227,174,89.803
527,MILLSAPS,4,4,0,163,210,89.758
528,MISSISSIPPI COL.,2,7,0,131,218,89.753
529,LEWIS & CLARK,4,5,0,303,323,89.746
530,EDWARD WATERS,3,6,0,214,275,89.719
531,LA. CHRISTIAN,0,1,0,7,70,89.601
532,TRINE,5,4,0,255,310,89.560
533,EASTERN N.M.,3,7,0,289,382,89.546
534,ELIZABETH CITY ST.,3,7,0,129,241,89.496
535,BETHANY (WV),1,8,0,118,390,89.465
536,MUSKINGUM,4,4,0,207,264,89.450
537,WEST LIBERTY,2,8,0,215,401,89.329
538,SALVE REGINA,5,4,0,195,215,89.323
539,LINCOLN (PA),2,8,0,120,372,89.308
540,ADRIAN,6,3,0,283,241,89.273
541,SUNY MARITIME,7,2,0,268,204,89.269
542,POMONA-PITZER,7,2,0,218,172,89.236
543,EASTERN,4,5,0,190,221,89.225
544,MERCHANT MARINE,5,3,0,251,169,89.149
545,MILLERSVILLE,0,10,0,182,377,89.147
546,OHIO NORTHERN,4,5,0,290,283,89.128
547,HENDRIX,4,6,0,257,310,89.118
548,NORTH PARK,5,4,0,237,265,89.103
549,ST. JOHN FISHER,3,6,0,213,261,89.031
550,DUBUQUE,4,5,0,266,230,89.027
551,ST. NORBERT,6,3,0,257,137,88.944
552,NORTH AMERICAN,0,2,0,7,167,88.939
553,SAINT VINCENT,1,9,0,104,387,88.415
554,HEIDELBERG,5,4,0,274,274,88.411
555,ALLEGHENY,1,8,0,139,371,88.371
556,SUL ROSS ST.,3,7,0,226,435,88.266
557,ALLEN,2,8,0,264,291,88.248
558,WIS.-STEVENS POINT,1,8,0,110,323,88.200
559,BUFFALO ST.,3,6,0,123,268,88.167
560,MCDANIEL,1,8,0,67,273,88.074
561,HOWARD PAYNE,1,7,0,170,282,87.882
562,WM. PATERSON,1,8,0,88,317,87.877
563,AUGUSTANA (IL),4,5,0,201,255,87.834
564,RHODES,3,6,0,218,308,87.784
565,NORTHERN MICH.,0,10,0,158,421,87.694
566,WESTCONN,7,2,0,439,157,87.603
567,WPI,5,4,0,195,225,87.597
568,SOUTHWEST BAPTIST,2,7,0,173,290,87.393
569,POST,1,9,0,233,392,87.340
570,ST. LAWRENCE,2,6,0,87,240,87.140
