Rnk Team                         WON LOST   PF   PA     RATE      SOS
--- ----                         --- ----  ---  ---  -------  -------
260 20   Stanford                  0    0    0    0      nan      nan (2217)
261 20   Trinity, Conn.            0    0    0    0      nan      nan (2216)
262 20   W. Washington             0    0    0    0      nan      nan (2215)
263 20   Walsh OH                  0    0    0    0      nan      nan (2214)
264 20   Whittier                  0    0    0    0      nan      nan (2213)
265 20   Whitworth                 0    0    0    0      nan      nan (2212)
266 20   Wilkes                    0    0    0    0      nan      nan (2211)
267 20   Williams                  0    0    0    0      nan      nan (2210)
268 20   Wooster                   0    0    0    0      nan      nan (2209)
269 21   Adrian                    0    0    0    0      nan      nan (2208)
270 21   Albion                    0    0    0    0      nan      nan (2207)
271 21   Arizona St.               0    0    0    0      nan      nan (2206)
272 21   Arkansas                  0    0    0    0      nan      nan (2205)
273 21   Assumption                0    0    0    0      nan      nan (2204)
274 21   Bentley                   0    0    0    0      nan      nan (2203)
275 21   Bethel, Tenn.             0    0    0    0      nan      nan (2202)
276 21   Bridgewater,Mass.         0    0    0    0      nan      nan (2201)
277 21   Bucknell                  0    0    0    0      nan      nan (2200)
278 21   Carroll, Mont.            0    0    0    0      nan      nan (2199)
279 21   Charleston So.            0    0    0    0      nan      nan (2198)
280 21   Clark Atlanta             0    0    0    0      nan      nan (2197)
281 21   Concordia, Ill.           0    0    0    0      nan      nan (2196)
282 21   Concordia, Wis.           0    0    0    0      nan      nan (2195)
283 21   Cumberland, Ky.           0    0    0    0      nan      nan (2194)
284 21   E. Washington             0    0    0    0      nan      nan (2193)
285 21   Eliz. City St.            0    0    0    0      nan      nan (2192)
286 21   Fair. Dickinson           0    0    0    0      nan      nan (2191)
287 21   Fairfield                 0    0    0    0      nan      nan (2190)
288 21   Ferris St.                0    0    0    0      nan      nan (2189)
289 21   Fordham                   0    0    0    0      nan      nan (2188)
290 21   Glenville St.             0    0    0    0      nan      nan (2187)
291 21   Holy Cross                0    0    0    0      nan      nan (2186)
292 21   Indiana, Pa.              0    0    0    0      nan      nan (2185)
293 21   James Madison             0    0    0    0      nan      nan (2184)
294 21   Juniata                   0    0    0    0      nan      nan (2183)
295 21   LaVerne                   0    0    0    0      nan      nan (2182)
296 21   Lock Haven                0    0    0    0      nan      nan (2181)
297 21   Manchester                0    0    0    0      nan      nan (2180)
298 21   Marietta                  0    0    0    0      nan      nan (2179)
299 21   Marist                    0    0    0    0      nan      nan (2178)
300 21   Martin Luther             0    0    0    0      nan      nan (2177)
301 21   Maryville, Tenn.          0    0    0    0      nan      nan (2176)
302 21   Michigan St.              0    0    0    0      nan      nan (2175)
303 21   Miles                     0    0    0    0      nan      nan (2174)
304 21   Millersville              0    0    0    0      nan      nan (2173)
305 21   N.Mex.Highlands           0    0    0    0      nan      nan (2172)
306 21   Ohio Weslyn               0    0    0    0      nan      nan (2171)
307 21   Oklahoma St.              0    0    0    0      nan      nan (2170)
308 21   S. Oregon                 0    0    0    0      nan      nan (2169)
309 21   Saginaw Val. St.          0    0    0    0      nan      nan (2168)
310 21   San Diego St.             0    0    0    0      nan      nan (2167)
311 21   Savannah St.              0    0    0    0      nan      nan (2166)
312 21   Southwestern, KS          0    0    0    0      nan      nan (2165)
313 21   St. Lawrence              0    0    0    0      nan      nan (2164)
314 21   St. Peter's               0    0    0    0      nan      nan (2163)
315 21   Tennessee                 0    0    0    0      nan      nan (2162)
316 21   Tufts                     0    0    0    0      nan      nan (2161)
317 21   Tulane                    0    0    0    0      nan      nan (2160)
318 21   UCLA                      0    0    0    0      nan      nan (2159)
319 21   Upper Iowa                0    0    0    0      nan      nan (2158)
320 21   Ursinus                   0    0    0    0      nan      nan (2157)
321 21   W. Va. Weslyn             0    0    0    0      nan      nan (2156)
322 21   Wilkes                    0    0    0    0      nan      nan (2155)
323 21   William & Mary            0    0    0    0      nan      nan (2154)
324 21   Wisc. Lutheran            0    0    0    0      nan      nan (2153)
325 22   Albright                  0    0    0    0      nan      nan (2152)
326 22   Austin Peay               0    0    0    0      nan      nan (2151)
327 22   Bowie St.                 0    0    0    0      nan      nan (2150)
328 22   Chowan                    0    0    0    0      nan      nan (2149)
329 22   Kenyon                    0    0    0    0      nan      nan (2148)
330 22   LaVerne                   0    0    0    0      nan      nan (2147)
331 22   Lane                      0    0    0    0      nan      nan (2146)
332 22   Louisiana Tech            0    0    0    0      nan      nan (2145)
333 22   Monmouth, Ill.            0    0    0    0      nan      nan (2144)
334 22   North Greenville          0    0    0    0      nan      nan (2143)
335 22   Ohio Weslyn               0    0    0    0      nan      nan (2142)
336 22   Purdue                    0    0    0    0      nan      nan (2141)
337 22   Rockford                  0    0    0    0      nan      nan (2140)
338 22   Taylor                    0    0    0    0      nan      nan (2139)
339 22   Worcester Tech            0    0    0    0      nan      nan (2138)
340 23   Ala.-Birmingham           0    0    0    0      nan      nan (2137)
341 23   Alma                      0    0    0    0      nan      nan (2136)
342 23   Army                      0    0    0    0      nan      nan (2135)
343 23   Aurora                    0    0    0    0      nan      nan (2134)
344 23   Bowling Green             0    0    0    0      nan      nan (2133)
345 23   Buena Vista               0    0    0    0      nan      nan (2132)
346 23   Canisius                  0    0    0    0      nan      nan (2131)
347 23   Clark Atlanta             0    0    0    0      nan      nan (2130)
348 23   Colorado                  0    0    0    0      nan      nan (2129)
349 23   Colorado Col.             0    0    0    0      nan      nan (2128)
350 23   Cornell                   0    0    0    0      nan      nan (2127)
351 23   Ferris St.                0    0    0    0      nan      nan (2126)
352 23   Findlay                   0    0    0    0      nan      nan (2125)
353 23   Franklin&Marshall         0    0    0    0      nan      nan (2124)
354 23   Haskell Indian            0    0    0    0      nan      nan (2123)
355 23   Kenyon                    0    0    0    0      nan      nan (2122)
356 23   Knox                      0    0    0    0      nan      nan (2121)
357 23   Lafayette                 0    0    0    0      nan      nan (2120)
358 23   Langston                  0    0    0    0      nan      nan (2119)
359 23   Maryville, Tenn.          0    0    0    0      nan      nan (2118)
360 23   Michigan                  0    0    0    0      nan      nan (2117)
361 23   Minnesota                 0    0    0    0      nan      nan (2116)
362 23   Morris Brown              0    0    0    0      nan      nan (2115)
363 23   Northwestern, IA          0    0    0    0      nan      nan (2114)
